,date,track,race_number,race_name,market_id,selection_id,selection_name,model_odds,market_name,result,matched_volume,bsp,best_back_1m,best_back_5m,win,model_prob,market_odds
91,2021-02-18,GERALDTON,5,R5 1413m CL1,1.179420565,23719212,6. Xaarmerit,13.03,R5 1413m CL1,LOSER,2163.35,12.92,11,11.5,0,0.07674597083653109,0.07739938080495357
92,2021-02-18,GERALDTON,5,R5 1413m CL1,1.179420565,38276776,8. Encendio,70.01,R5 1413m CL1,LOSER,723.81,75.0,80,75,0,0.0142836737608913,0.013333333333333334
93,2021-02-18,GERALDTON,5,R5 1413m CL1,1.179420565,28303752,9. Missile Milly,10.6,R5 1413m CL1,LOSER,4752.86,6.0,6.8,6,0,0.09433962264150944,0.16666666666666666
94,2021-02-18,GERALDTON,5,R5 1413m CL1,1.179420565,20978405,10. Uber Mover,24.22,R5 1413m CL1,LOSER,813.22,70.0,65,70,0,0.04128819157720892,0.014285714285714285
95,2021-02-18,GERALDTON,5,R5 1413m CL1,1.179420565,27334334,7. Aeecee Tianhu,12.09,R5 1413m CL1,LOSER,3432.83,9.34,9.2,9.8,0,0.0827129859387924,0.10706638115631692
96,2021-02-18,GERALDTON,6,R6 1213m Hcap,1.179420567,11608862,8. Jupiter Rising,17.03,R6 1213m Hcap,LOSER,4931.83,9.49,8.4,10,0,0.05871990604815032,0.1053740779768177
97,2021-02-18,GERALDTON,6,R6 1213m Hcap,1.179420567,38521614,7. Hot Style,5.93,R6 1213m Hcap,LOSER,12748.5,6.03,6.4,6.8,0,0.16863406408094436,0.16583747927031509
98,2021-02-18,GERALDTON,6,R6 1213m Hcap,1.179420567,38521613,6. Big Shot Paddy,6.37,R6 1213m Hcap,LOSER,10560.56,3.79,7.4,5.3,0,0.15698587127158556,0.2638522427440633
99,2021-02-18,GERALDTON,6,R6 1213m Hcap,1.179420567,22579718,5. Kenyluck,5.11,R6 1213m Hcap,WINNER,54534.66,2.84,3.15,4.2,1,0.19569471624266144,0.35211267605633806
100,2021-02-18,GERALDTON,6,R6 1213m Hcap,1.179420567,11891602,4. Freedom By Choice,14.81,R6 1213m Hcap,LOSER,1470.45,25.77,24,30,0,0.06752194463200539,0.038804811796662786
101,2021-02-18,GERALDTON,6,R6 1213m Hcap,1.179420567,27334396,1. Freezemoff,10.78,R6 1213m Hcap,LOSER,4064.1,12.29,14,16.5,0,0.0927643784786642,0.08136696501220506
102,2021-02-18,GERALDTON,6,R6 1213m Hcap,1.179420567,8741616,3. Calabria Joe,13.21,R6 1213m Hcap,LOSER,3272.92,15.54,29,22,0,0.07570022710068129,0.06435006435006435
103,2021-02-18,GERALDTON,7,R7 1113m CL2,1.179420569,4099681,9. Old Bailey,12.51,R7 1113m CL2,LOSER,3877.0,15.38,12,13,0,0.07993605115907275,0.06501950585175552
104,2021-02-18,GERALDTON,7,R7 1113m CL2,1.179420569,26720568,8. Propeller,52.57,R7 1113m CL2,LOSER,1402.99,36.0,32,32,0,0.019022256039566292,0.027777777777777776
105,2021-02-18,GERALDTON,7,R7 1113m CL2,1.179420569,35621886,7. Im A Bush Chook,30.84,R7 1113m CL2,LOSER,927.4,70.0,50,48,0,0.0324254215304799,0.014285714285714285
106,2021-02-18,GERALDTON,7,R7 1113m CL2,1.179420569,36332594,6. Admiral Husson,13.18,R7 1113m CL2,LOSER,2984.14,18.0,11,13,0,0.07587253414264036,0.05555555555555555
107,2021-02-18,GERALDTON,7,R7 1113m CL2,1.179420569,38521617,5. Aerolite,34.12,R7 1113m CL2,LOSER,1151.02,54.29,50,48,0,0.02930832356389215,0.01841959845275373
108,2021-02-18,GERALDTON,7,R7 1113m CL2,1.179420569,28339574,4. Brick Short,8.02,R7 1113m CL2,LOSER,4558.72,14.5,12.5,14.5,0,0.12468827930174564,0.06896551724137931
109,2021-02-18,GERALDTON,7,R7 1113m CL2,1.179420569,38521616,3. Jevelation,2.42,R7 1113m CL2,LOSER,66631.52,1.63,1.78,1.7,0,0.4132231404958678,0.6134969325153374
110,2021-02-18,GERALDTON,7,R7 1113m CL2,1.179420569,37713983,2. Startrade,7.31,R7 1113m CL2,WINNER,7340.92,11.9,11.5,10,1,0.13679890560875513,0.08403361344537814
111,2021-02-18,GERALDTON,7,R7 1113m CL2,1.179420569,38521615,1. Shecky Red,11.19,R7 1113m CL2,LOSER,2954.54,25.81,15.5,21,0,0.08936550491510277,0.03874467260751647
112,2021-02-18,GERALDTON,8,R8 1413m Hcap,1.179420571,27913011,3. Arabian Riches,9.05,R8 1413m Hcap,LOSER,20509.49,3.95,4.8,4.2,0,0.11049723756906077,0.2531645569620253
113,2021-02-18,GERALDTON,8,R8 1413m Hcap,1.179420571,10054477,2. Speed N Reef,165.38,R8 1413m Hcap,LOSER,511.77,236.08,160,240,0,0.006046680372475511,0.0042358522534733985
114,2021-02-18,GERALDTON,8,R8 1413m Hcap,1.179420571,22202828,1. Dashing Image,9.17,R8 1413m Hcap,LOSER,8309.9,8.35,7,7.4,0,0.10905125408942203,0.11976047904191617
115,2021-02-18,GERALDTON,8,R8 1413m Hcap,1.179420571,13428075,4. Honorfic,16.07,R8 1413m Hcap,LOSER,6433.56,10.25,12,13,0,0.06222775357809583,0.0975609756097561
116,2021-02-18,GERALDTON,8,R8 1413m Hcap,1.179420571,13073205,5. Summit Trail,14.96,R8 1413m Hcap,LOSER,2899.21,21.0,17,18.5,0,0.06684491978609625,0.047619047619047616
117,2021-02-18,GERALDTON,8,R8 1413m Hcap,1.179420571,28082074,7. Rivarola,9.38,R8 1413m Hcap,LOSER,4591.0,10.38,8.8,9.6,0,0.10660980810234541,0.09633911368015413
118,2021-02-18,GERALDTON,8,R8 1413m Hcap,1.179420571,9916492,6. Rhinos Lad,16.37,R8 1413m Hcap,LOSER,9699.84,13.5,10.5,12,0,0.06108735491753207,0.07407407407407407
119,2021-02-18,GERALDTON,8,R8 1413m Hcap,1.179420571,38521618,10. Ziera,9.1,R8 1413m Hcap,LOSER,4016.84,16.93,10,15.5,0,0.10989010989010989,0.05906674542232723
120,2021-02-18,GERALDTON,8,R8 1413m Hcap,1.179420571,27750727,9. Pagani,10.18,R8 1413m Hcap,LOSER,2372.41,19.5,13,17,0,0.09823182711198429,0.05128205128205128
