market_id,event_date,country,track,market_name,selection_id,selection_name,result,bsp,matched_volume, best_back_1m, best_back_5m 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996045,15. Amour Vole,REMOVED,,0,None,None 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996046,16. Miss Cruisey,REMOVED,,0,None,None 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,26530807,1. Shamamour,LOSER,14.35,2205.0700000000006,11,12.5 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,11036881,2. Blinkin Fast,LOSER,10.14,2321.7900000000004,17,10.5 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,15446799,3. Ballast,LOSER,25.00,1406.5299999999997,36,28 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,23399963,4. In Hearts Wake,LOSER,8.99,2668.77,9.2,9.2 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,35281841,7. Harbour Trick,WINNER,9.80,6405.630000000001,9.4,12 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,27682949,8. My Desire,LOSER,10.70,2128.7900000000004,8.8,10 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,23082973,9. Poet Lad,LOSER,2.79,31736.260000000002,2.36,2.48 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,36136797,11. Hardyo,LOSER,6.47,5419.05,9,8.6 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,27078007,5. Onemorechoice,REMOVED,,0,None,None 
