market_id,event_date,country,track,market_name,selection_id,selection_name,result,bsp,matched_volume
1.177444545,2021-01-01 03:29:00,AU,Ipswich,R2 1350m Mdn,36023573,4. Two Shades,LOSER,16.00,2501.4899999999993 
1.177444545,2021-01-01 03:29:00,AU,Ipswich,R2 1350m Mdn,37996050,5. Mount Padrao,LOSER,110.34,243.05999999999997 
1.177444545,2021-01-01 03:29:00,AU,Ipswich,R2 1350m Mdn,35524043,7. Trust In Aloha,LOSER,1.81,73019.87 
1.177444545,2021-01-01 03:29:00,AU,Ipswich,R2 1350m Mdn,37794535,8. Qiji Bellezza,LOSER,7.33,10138.780000000004 
1.177444545,2021-01-01 03:29:00,AU,Ipswich,R2 1350m Mdn,37059504,9. Atlantic Royal,LOSER,169.73,808.6299999999998 
1.177444545,2021-01-01 03:29:00,AU,Ipswich,R2 1350m Mdn,37996052,10. Miss Gold Bounty,WINNER,15.50,3759.24 
1.177444545,2021-01-01 03:29:00,AU,Ipswich,R2 1350m Mdn,24925384,11. Fairy Dell,LOSER,21.12,2055.31 
1.177444545,2021-01-01 03:29:00,AU,Ipswich,R2 1350m Mdn,37996049,3. Green Protector,REMOVED,,0 
1.177442947,2021-01-01 03:33:00,AU,Longford,R3 1400m Mdn,4771121,2. Red Roger,WINNER,2.48,32132.480000000007 
1.177442947,2021-01-01 03:33:00,AU,Longford,R3 1400m Mdn,37995868,4. The Adjudicator,LOSER,7.29,4206.240000000001 
1.177442947,2021-01-01 03:33:00,AU,Longford,R3 1400m Mdn,37995869,5. Cochranes Girl,LOSER,38.00,827.99 
1.177442947,2021-01-01 03:33:00,AU,Longford,R3 1400m Mdn,35453270,6. Miss Sleuth,LOSER,19.00,1448.0799999999997 
1.177442947,2021-01-01 03:33:00,AU,Longford,R3 1400m Mdn,37933718,7. Dis A Dancer,LOSER,37.47,955.1599999999997 
1.177442947,2021-01-01 03:33:00,AU,Longford,R3 1400m Mdn,37995870,8. Rockymountainhigh,LOSER,3.09,20702.839999999997 
1.177442947,2021-01-01 03:33:00,AU,Longford,R3 1400m Mdn,37995871,9. Mickey Highsleeves,LOSER,81.07,310.44999999999993 
1.177442947,2021-01-01 03:33:00,AU,Longford,R3 1400m Mdn,25179255,10. Rosehaven,LOSER,18.16,1987.48 
1.177442947,2021-01-01 03:33:00,AU,Longford,R3 1400m Mdn,26962929,11. Vela Blue,REMOVED,,0 
1.177442947,2021-01-01 03:33:00,AU,Longford,R3 1400m Mdn,27280998,3. Wild Destiny,REMOVED,,0 
1.177442947,2021-01-01 03:33:00,AU,Longford,R3 1400m Mdn,37995867,1. Fanawingo,REMOVED,,0 
1.177444870,2021-01-01 03:36:00,AU,Murray Bridge,R3 1200m Mdn,37997235,1. Ever Onward,LOSER,33.37,2424.6199999999994 
1.177444870,2021-01-01 03:36:00,AU,Murray Bridge,R3 1200m Mdn,37997236,2. Maluka Gold,LOSER,55.00,662.9999999999999 
